113,13.27,24.03,1.27,0.2,13.07,0.96,0.05,0.2,10.53,4.54,0.94114,19.015,1.714,0.00516,0.01305,0.00826,0.00525,0.03633,0.38867,0.00416,0.01468,0.21062,0.01072,0.0098,0.03618,0.00329,0.09792,182
102,,,,,,,,,9.62,4.2,0.99065,18.283,1.616,0,0.01239,0.00688,0.00414,0.03185,0.35604,0.0035,0.01181,0.16899,0.01827,0.00813,0.04689,0.00189,0.10216,164
92,,,,,,,,,8.64,3.83,0.99237,16.305,1.445,0.00339,0.01272,0.00477,0.00314,0.02853,0.35148,0.00238,0.01011,0.1507,0.02352,0.0066,0.031,0.00133,0.0996,137
94,10.74,13.7,0.63,0.15,9,0.73,0.06,0.19,8.14,3.57,0.91787,15.501,1.406,0.00549,0.01311,0.0046,0.00329,0.028,0.3838,0.00208,0.00981,0.15774,0.02845,0.00626,0.0233,0.00186,0.10416,128
97,10.86,13.6,0.72,0.14,8.83,0.76,0.09,0.17,7.97,4.24,1.012,15.486,1.393,0.00476,0.01302,0.00405,0.00311,0.02775,0.38377,0.00199,0.00979,0.16025,0.03173,0.00596,0.02337,0.00237,0.10694,131
66,11.33,13.77,0.78,0.15,9.22,0.91,0.07,0.19,8.49,3.91,0.90761,16.072,1.427,0.02278,0.01466,0.00452,0.00316,0.02937,0.39606,0.00201,0.01041,0.16137,0.03274,0.00622,0.02539,0.00093,0.10297,135
66,8.25,9.49,0.56,0.11,6.76,0.73,0.07,0.18,6.46,3.2,0.96233,11.198,1.136,0.02425,0.01158,0.00261,0.00315,0.02567,0.32689,0.00128,0.00892,0.11843,0.01753,0.00402,0.01645,0.00242,0.07342,98
46,3.27,8.79,0.34,0.13,4.22,0.07,0,0.37,4.99,2.02,0.83163,4.444,0.54094,0.01877,0.00777,0.00247,0.00168,0.01455,0.1764,0.00115,0.01005,0.10865,0.00287,0.00488,0.01684,0.0064,0.03857,60
45,3.14,7.97,0.37,0.15,3.93,0.08,0,0.37,5.25,1.98,0.75949,4.519,0.56654,0.02296,0.00728,0.0023,0.00149,0.01507,0.18196,0.00114,0.01161,0.10747,0.00251,0.0043,0.0189,0.00753,0.03831,63
53,4.32,9.73,0.42,0.14,5.06,0.12,0,0.24,5.36,2.12,0.75235,6.535,0.7539,0.02003,0.00904,0.003,0.0022,0.01734,0.22505,0.00129,0.03333,0.08658,0.00134,0.00377,0.01792,0.0048,0.05273,77
59,,,,,,,,,6.5,2.03,0.68135,8.188,0.59672,0.02645,0.00731,0.00304,0.00208,0.01657,0.18845,0.00112,0.01091,0.08755,0.00398,0.0039,0.04857,0.00505,0.04586,78
59,5.98,9.73,0.5,0.19,5.67,0.1,0,0.4,7.62,2.16,0.23898,7.548,0.69988,0.16217,0.00834,0.00053,0.00171,0.01733,0.22523,0.00107,0.01347,0.11737,0.00477,0.00424,0.04351,0.09878,0.05833,87
72,6.98,11.89,0.9,0.15,6.97,0.11,0,0.3,14.75,2.55,0.08377,11.38,0.65861,0.13226,0.01035,0.00286,0.00239,0.01855,0.23179,0.00146,0.01452,0.12092,0.00503,0.00465,0.13114,0.00732,0.05541,101
72,7.34,11.76,0.99,0.14,7.07,0.3,0,0.4,12.21,2.64,0.14639,9.638,0.68527,0.06182,0.00902,0.00218,0.00264,0.01938,0.24094,0.00132,0.01592,0.14172,0.00595,0.00515,0.12977,0.01096,0.07203,95
60,6.41,12.02,0.81,0.12,6.68,0.49,0,0.27,6.73,2.71,0.51941,7.501,0.67103,0.0149,0.01098,0.00239,0.00224,0.01842,0.24396,0.0012,0.01551,0.11012,0.00456,0.00492,0.03217,0.01179,0.05583,84
18,0.94,0.82,0.15,0.04,0.69,0.1,0,0.3,2.79,1.4,0.63568,1.724,0.62399,0.0574,0.00929,0.00031,0.00056,0.0054,0.12339,0.00017,0.00423,0.03283,0.0029,0.0003,0.00881,0.00238,0.01932,49
16,0.96,0.91,0.14,0.03,0.69,0.1,0,0.29,2.56,0.84,0.35138,1.679,0.49626,0.06886,0.00987,0.0004,0.00105,0.00613,0.1302,0.00033,0.00547,0.03542,0.00221,0.00039,0.00591,0.00186,0.01882,40
